dataset,level,transition,pure_default_optimizer_boundary,opcode,total_before,total_after,total_delta,cases_changed
public_v1,O2,bundle_exact_pointer_passes,False,sext,931,923,-8,2
public_v1,O2,bundle_exact_pointer_passes,False,shl,756,737,-19,2
public_v1,O2,bundle_exact_pointer_passes,False,store,8988,8948,-40,2
public_v1,O2,bundle_exact_pointer_passes,False,sub,820,465,-355,23
public_v1,O2,bundle_exact_pointer_passes,False,switch,91,89,-2,1
public_v1,O2,bundle_exact_pointer_passes,False,zext,2784,2757,-27,4
public_v1,O2,llvm_default_opt_boundary_3,True,add,3179,2752,-427,25
public_v1,O2,llvm_default_opt_boundary_3,True,alloca,148,148,0,0
public_v1,O2,llvm_default_opt_boundary_3,True,and,2420,1899,-521,12
public_v1,O2,llvm_default_opt_boundary_3,True,br,3118,3094,-24,18
public_v1,O2,llvm_default_opt_boundary_3,True,call,2342,2341,-1,13
public_v1,O2,llvm_default_opt_boundary_3,True,getelementptr,4548,4090,-458,28
public_v1,O2,llvm_default_opt_boundary_3,True,icmp,2064,1969,-95,17
public_v1,O2,llvm_default_opt_boundary_3,True,load,6472,6111,-361,22
public_v1,O2,llvm_default_opt_boundary_3,True,phi,1593,1555,-38,23
public_v1,O2,llvm_default_opt_boundary_3,True,ptrtoint,606,210,-396,23
public_v1,O2,llvm_default_opt_boundary_3,True,ret,207,202,-5,5
public_v1,O2,llvm_default_opt_boundary_3,True,select,899,900,1,14
public_v1,O2,llvm_default_opt_boundary_3,True,sext,923,909,-14,14
public_v1,O2,llvm_default_opt_boundary_3,True,shl,737,737,0,8
public_v1,O2,llvm_default_opt_boundary_3,True,store,8948,8149,-799,26
public_v1,O2,llvm_default_opt_boundary_3,True,sub,465,316,-149,19
public_v1,O2,llvm_default_opt_boundary_3,True,switch,89,89,0,0
public_v1,O2,llvm_default_opt_boundary_3,True,trunc,745,730,-15,9
public_v1,O2,llvm_default_opt_boundary_3,True,zext,2757,2335,-422,18
public_v1,O2,custom_storage_delift,False,add,2752,2752,0,0
public_v1,O2,custom_storage_delift,False,alloca,148,148,0,0
public_v1,O2,custom_storage_delift,False,and,1899,1899,0,0
public_v1,O2,custom_storage_delift,False,br,3094,3094,0,0
public_v1,O2,custom_storage_delift,False,call,2341,2341,0,0
public_v1,O2,custom_storage_delift,False,getelementptr,4090,4090,0,0
public_v1,O2,custom_storage_delift,False,icmp,1969,1969,0,0
public_v1,O2,custom_storage_delift,False,load,6111,6111,0,0
public_v1,O2,custom_storage_delift,False,phi,1555,1555,0,0
public_v1,O2,custom_storage_delift,False,ptrtoint,210,210,0,0
public_v1,O2,custom_storage_delift,False,ret,202,202,0,0
public_v1,O2,custom_storage_delift,False,select,900,900,0,0
public_v1,O2,custom_storage_delift,False,sext,909,909,0,0
public_v1,O2,custom_storage_delift,False,shl,737,737,0,0
public_v1,O2,custom_storage_delift,False,store,8149,8149,0,0
public_v1,O2,custom_storage_delift,False,sub,316,316,0,0
public_v1,O2,custom_storage_delift,False,switch,89,89,0,0
public_v1,O2,custom_storage_delift,False,trunc,730,730,0,0
public_v1,O2,custom_storage_delift,False,zext,2335,2335,0,0
public_v1,O2,custom_residual_strip,False,add,2752,2752,0,0
public_v1,O2,custom_residual_strip,False,alloca,148,148,0,0
public_v1,O2,custom_residual_strip,False,and,1899,1899,0,0
public_v1,O2,custom_residual_strip,False,br,3094,3094,0,0
public_v1,O2,custom_residual_strip,False,call,2341,2341,0,0
public_v1,O2,custom_residual_strip,False,getelementptr,4090,4090,0,0
public_v1,O2,custom_residual_strip,False,icmp,1969,1969,0,0
public_v1,O2,custom_residual_strip,False,load,6111,6111,0,0
public_v1,O2,custom_residual_strip,False,phi,1555,1555,0,0
public_v1,O2,custom_residual_strip,False,ptrtoint,210,210,0,0
public_v1,O2,custom_residual_strip,False,ret,202,202,0,0
public_v1,O2,custom_residual_strip,False,select,900,900,0,0
public_v1,O2,custom_residual_strip,False,sext,909,909,0,0
public_v1,O2,custom_residual_strip,False,shl,737,737,0,0
public_v1,O2,custom_residual_strip,False,store,8149,8149,0,0
public_v1,O2,custom_residual_strip,False,sub,316,316,0,0
public_v1,O2,custom_residual_strip,False,switch,89,89,0,0
public_v1,O2,custom_residual_strip,False,trunc,730,730,0,0
public_v1,O2,custom_residual_strip,False,zext,2335,2335,0,0
public_v1,O2,final_tail_opt_4_plus_custom_cleanup,False,add,2752,2659,-93,12
public_v1,O2,final_tail_opt_4_plus_custom_cleanup,False,alloca,148,153,5,1
