dataset,level,sample_id,transition,pure_default_optimizer_boundary,opcode,before,after,delta
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,ptrtoint,2,2,0
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,ret,2,2,0
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,select,3,3,0
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,sext,8,3,-5
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,shl,8,3,-5
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,store,39,39,0
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,trunc,1,2,1
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,xor,6,6,0
public_v1,O1,p00008,llvm_default_opt_boundary_3,True,zext,5,5,0
public_v1,O1,p00008,custom_storage_delift,False,add,11,11,0
public_v1,O1,p00008,custom_storage_delift,False,alloca,3,3,0
public_v1,O1,p00008,custom_storage_delift,False,and,7,7,0
public_v1,O1,p00008,custom_storage_delift,False,br,24,24,0
public_v1,O1,p00008,custom_storage_delift,False,call,7,7,0
public_v1,O1,p00008,custom_storage_delift,False,getelementptr,45,45,0
public_v1,O1,p00008,custom_storage_delift,False,icmp,22,22,0
public_v1,O1,p00008,custom_storage_delift,False,inttoptr,1,1,0
public_v1,O1,p00008,custom_storage_delift,False,load,31,31,0
public_v1,O1,p00008,custom_storage_delift,False,mul,2,2,0
public_v1,O1,p00008,custom_storage_delift,False,or,4,4,0
public_v1,O1,p00008,custom_storage_delift,False,phi,6,6,0
public_v1,O1,p00008,custom_storage_delift,False,ptrtoint,2,2,0
public_v1,O1,p00008,custom_storage_delift,False,ret,2,2,0
public_v1,O1,p00008,custom_storage_delift,False,select,3,3,0
public_v1,O1,p00008,custom_storage_delift,False,sext,3,3,0
public_v1,O1,p00008,custom_storage_delift,False,shl,3,3,0
public_v1,O1,p00008,custom_storage_delift,False,store,39,39,0
public_v1,O1,p00008,custom_storage_delift,False,trunc,2,2,0
public_v1,O1,p00008,custom_storage_delift,False,xor,6,6,0
public_v1,O1,p00008,custom_storage_delift,False,zext,5,5,0
public_v1,O1,p00008,custom_residual_strip,False,add,11,11,0
public_v1,O1,p00008,custom_residual_strip,False,alloca,3,3,0
public_v1,O1,p00008,custom_residual_strip,False,and,7,7,0
public_v1,O1,p00008,custom_residual_strip,False,br,24,24,0
public_v1,O1,p00008,custom_residual_strip,False,call,7,7,0
public_v1,O1,p00008,custom_residual_strip,False,getelementptr,45,45,0
public_v1,O1,p00008,custom_residual_strip,False,icmp,22,22,0
public_v1,O1,p00008,custom_residual_strip,False,inttoptr,1,1,0
public_v1,O1,p00008,custom_residual_strip,False,load,31,31,0
public_v1,O1,p00008,custom_residual_strip,False,mul,2,2,0
public_v1,O1,p00008,custom_residual_strip,False,or,4,4,0
public_v1,O1,p00008,custom_residual_strip,False,phi,6,6,0
public_v1,O1,p00008,custom_residual_strip,False,ptrtoint,2,2,0
public_v1,O1,p00008,custom_residual_strip,False,ret,2,2,0
public_v1,O1,p00008,custom_residual_strip,False,select,3,3,0
public_v1,O1,p00008,custom_residual_strip,False,sext,3,3,0
public_v1,O1,p00008,custom_residual_strip,False,shl,3,3,0
public_v1,O1,p00008,custom_residual_strip,False,store,39,39,0
public_v1,O1,p00008,custom_residual_strip,False,trunc,2,2,0
public_v1,O1,p00008,custom_residual_strip,False,xor,6,6,0
public_v1,O1,p00008,custom_residual_strip,False,zext,5,5,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,add,11,11,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,alloca,3,3,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,and,7,7,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,br,24,24,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,call,7,7,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,getelementptr,45,45,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,icmp,22,22,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,inttoptr,1,1,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,load,31,17,-14
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,mul,2,2,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,or,4,4,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,phi,6,35,29
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,ptrtoint,2,2,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,ret,2,2,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,select,3,3,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,sext,3,2,-1
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,shl,3,3,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,store,39,39,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,trunc,2,2,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,xor,6,6,0
public_v1,O1,p00008,final_tail_opt_4_plus_custom_cleanup,False,zext,5,6,1
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,add,200,49,-151
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,alloca,0,13,13
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,and,268,3,-265
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,ashr,79,0,-79
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,br,196,79,-117
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,call,54,18,-36
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,extractvalue,0,2,2
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,fcmp,1,1,0
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,fptosi,1,1,0
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,getelementptr,14,67,53
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,icmp,336,19,-317
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,insertvalue,0,2,2
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,inttoptr,116,1,-115
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,load,202,82,-120
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,lshr,123,2,-121
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,mul,64,10,-54
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,or,55,0,-55
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,phi,3,5,2
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,ptrtoint,0,9,9
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,ret,27,4,-23
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,select,49,17,-32
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,sext,21,22,1
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,shl,79,20,-59
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,sitofp,1,1,0
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,store,590,116,-474
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,sub,317,7,-310
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,switch,0,2,2
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,trunc,505,0,-505
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,unreachable,3,0,-3
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,xor,229,3,-226
public_v1,O1,p00033,main_combined_custom_plus_opt_1_2,False,zext,566,4,-562
public_v1,O1,p00033,bundle_exact_pointer_passes,False,add,49,49,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,alloca,13,13,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,and,3,3,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,br,79,78,-1
public_v1,O1,p00033,bundle_exact_pointer_passes,False,call,18,18,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,extractvalue,2,2,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,fcmp,1,1,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,fptosi,1,1,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,getelementptr,67,66,-1
public_v1,O1,p00033,bundle_exact_pointer_passes,False,icmp,19,19,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,insertvalue,2,2,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,inttoptr,1,1,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,load,82,82,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,lshr,2,2,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,mul,10,10,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,phi,5,5,0
public_v1,O1,p00033,bundle_exact_pointer_passes,False,ptrtoint,9,8,-1
