dataset,level,sample_id,transition,before_stage,after_stage,pure_default_optimizer_boundary,functions_before,functions_after,functions_delta,functions_delta_ratio,blocks_before,blocks_after,blocks_delta,blocks_delta_ratio,instructions_before,instructions_after,instructions_delta,instructions_delta_ratio,conditional_branches_before,conditional_branches_after,conditional_branches_delta,conditional_branches_delta_ratio,calls_before,calls_after,calls_delta,calls_delta_ratio,direct_calls_before,direct_calls_after,direct_calls_delta,direct_calls_delta_ratio,indirect_calls_before,indirect_calls_after,indirect_calls_delta,indirect_calls_delta_ratio,intrinsics_before,intrinsics_after,intrinsics_delta,intrinsics_delta_ratio,allocas_before,allocas_after,allocas_delta,allocas_delta_ratio,loads_before,loads_after,loads_delta,loads_delta_ratio,stores_before,stores_after,stores_delta,stores_delta_ratio,geps_before,geps_after,geps_delta,geps_delta_ratio,phis_before,phis_after,phis_delta,phis_delta_ratio,selects_before,selects_after,selects_delta,selects_delta_ratio,switches_before,switches_after,switches_delta,switches_delta_ratio,unreachable_before,unreachable_after,unreachable_delta,unreachable_delta_ratio,memory_ops_before,memory_ops_after,memory_ops_delta,memory_ops_delta_ratio,scalar_cleanup_ops_before,scalar_cleanup_ops_after,scalar_cleanup_ops_delta,scalar_cleanup_ops_delta_ratio,vector_instructions_before,vector_instructions_after,vector_instructions_delta,vector_instructions_delta_ratio
public_v1,O1,p00678,main_combined_custom_plus_opt_1_2,raw_lift,brightened_main,False,28,5,-23,-0.8214285714285714,167,78,-89,-0.5329341317365269,3083,1169,-1914,-0.6208238728511191,78,18,-60,-0.7692307692307693,60,29,-31,-0.5166666666666667,55,29,-26,-0.4727272727272727,5,0,-5,-1.0,18,12,-6,-0.3333333333333333,0,7,7,,200,100,-100,-0.5,552,141,-411,-0.7445652173913043,15,125,110,7.333333333333333,15,77,62,4.133333333333334,30,20,-10,-0.3333333333333333,0,4,4,,6,3,-3,-0.5,767,373,-394,-0.5136897001303781,1132,293,-839,-0.741166077738516,0,0,0,
public_v1,O1,p00678,bundle_exact_pointer_passes,bundle_verified_input,bundle_pointer_opt,False,5,5,0,0.0,78,78,0,0.0,1169,1169,0,0.0,18,18,0,0.0,29,29,0,0.0,29,29,0,0.0,0,0,0,,12,12,0,0.0,7,7,0,0.0,100,100,0,0.0,141,141,0,0.0,125,125,0,0.0,77,77,0,0.0,20,20,0,0.0,4,4,0,0.0,3,3,0,0.0,373,373,0,0.0,293,293,0,0.0,0,0,0,
public_v1,O1,p00678,llvm_default_opt_boundary_3,bundle_pointer_opt,bundle_standard_opt_3,True,5,5,0,0.0,78,78,0,0.0,1169,1169,0,0.0,18,18,0,0.0,29,29,0,0.0,29,29,0,0.0,0,0,0,,12,12,0,0.0,7,7,0,0.0,100,100,0,0.0,141,141,0,0.0,125,125,0,0.0,77,77,0,0.0,20,20,0,0.0,4,4,0,0.0,3,3,0,0.0,373,373,0,0.0,293,293,0,0.0,0,0,0,
public_v1,O1,p00678,custom_storage_delift,bundle_standard_opt_3,bundle_storage_delift,False,5,5,0,0.0,78,78,0,0.0,1169,1169,0,0.0,18,18,0,0.0,29,29,0,0.0,29,29,0,0.0,0,0,0,,12,12,0,0.0,7,7,0,0.0,100,100,0,0.0,141,141,0,0.0,125,125,0,0.0,77,77,0,0.0,20,20,0,0.0,4,4,0,0.0,3,3,0,0.0,373,373,0,0.0,293,293,0,0.0,0,0,0,
public_v1,O1,p00678,custom_residual_strip,bundle_storage_delift,bundle_residual_strip,False,5,5,0,0.0,78,78,0,0.0,1169,1169,0,0.0,18,18,0,0.0,29,29,0,0.0,29,29,0,0.0,0,0,0,,12,12,0,0.0,7,7,0,0.0,100,100,0,0.0,141,141,0,0.0,125,125,0,0.0,77,77,0,0.0,20,20,0,0.0,4,4,0,0.0,3,3,0,0.0,373,373,0,0.0,293,293,0,0.0,0,0,0,
public_v1,O1,p00678,final_tail_opt_4_plus_custom_cleanup,bundle_residual_strip,final_clean,False,5,5,0,0.0,78,78,0,0.0,1169,1173,4,0.003421727972626176,18,18,0,0.0,29,29,0,0.0,29,29,0,0.0,0,0,0,,12,12,0,0.0,7,7,0,0.0,100,91,-9,-0.09,141,141,0,0.0,125,125,0,0.0,77,88,11,0.14285714285714285,20,20,0,0.0,4,4,0,0.0,3,3,0,0.0,373,364,-9,-0.024128686327077747,293,306,13,0.04436860068259386,0,0,0,
public_v1,O1,p00693,main_combined_custom_plus_opt_1_2,raw_lift,brightened_main,False,25,5,-20,-0.8,217,41,-176,-0.8110599078341014,3887,676,-3211,-0.8260869565217391,93,19,-74,-0.7956989247311828,48,32,-16,-0.3333333333333333,43,32,-11,-0.2558139534883721,5,0,-5,-1.0,15,10,-5,-0.3333333333333333,0,5,5,,202,52,-150,-0.7425742574257426,574,194,-380,-0.662020905923345,16,109,93,5.8125,3,9,6,2.0,47,49,2,0.0425531914893617,0,0,0,,3,0,-3,-1.0,792,360,-432,-0.5454545454545454,1592,154,-1438,-0.9032663316582915,0,0,0,
public_v1,O1,p00693,bundle_exact_pointer_passes,bundle_verified_input,bundle_pointer_opt,False,5,5,0,0.0,41,40,-1,-0.024390243902439025,676,670,-6,-0.008875739644970414,19,19,0,0.0,32,32,0,0.0,32,32,0,0.0,0,0,0,,10,10,0,0.0,5,5,0,0.0,52,51,-1,-0.019230769230769232,194,194,0,0.0,109,107,-2,-0.01834862385321101,9,9,0,0.0,49,49,0,0.0,0,0,0,,0,0,0,,360,357,-3,-0.008333333333333333,154,153,-1,-0.006493506493506494,0,0,0,
public_v1,O1,p00693,llvm_default_opt_boundary_3,bundle_pointer_opt,bundle_standard_opt_3,True,5,5,0,0.0,40,39,-1,-0.025,670,653,-17,-0.025373134328358207,19,20,1,0.05263157894736842,32,32,0,0.0,32,32,0,0.0,0,0,0,,10,10,0,0.0,5,5,0,0.0,51,52,1,0.0196078431372549,194,198,4,0.020618556701030927,107,105,-2,-0.018691588785046728,9,4,-5,-0.5555555555555556,49,50,1,0.02040816326530612,0,0,0,,0,0,0,,357,360,3,0.008403361344537815,153,146,-7,-0.0457516339869281,0,0,0,
public_v1,O1,p00693,custom_storage_delift,bundle_standard_opt_3,bundle_storage_delift,False,5,5,0,0.0,39,39,0,0.0,653,653,0,0.0,20,20,0,0.0,32,32,0,0.0,32,32,0,0.0,0,0,0,,10,10,0,0.0,5,5,0,0.0,52,52,0,0.0,198,198,0,0.0,105,105,0,0.0,4,4,0,0.0,50,50,0,0.0,0,0,0,,0,0,0,,360,360,0,0.0,146,146,0,0.0,0,0,0,
