dataset,level,sample_id,transition,before_stage,after_stage,pure_default_optimizer_boundary,functions_before,functions_after,functions_delta,functions_delta_ratio,blocks_before,blocks_after,blocks_delta,blocks_delta_ratio,instructions_before,instructions_after,instructions_delta,instructions_delta_ratio,conditional_branches_before,conditional_branches_after,conditional_branches_delta,conditional_branches_delta_ratio,calls_before,calls_after,calls_delta,calls_delta_ratio,direct_calls_before,direct_calls_after,direct_calls_delta,direct_calls_delta_ratio,indirect_calls_before,indirect_calls_after,indirect_calls_delta,indirect_calls_delta_ratio,intrinsics_before,intrinsics_after,intrinsics_delta,intrinsics_delta_ratio,allocas_before,allocas_after,allocas_delta,allocas_delta_ratio,loads_before,loads_after,loads_delta,loads_delta_ratio,stores_before,stores_after,stores_delta,stores_delta_ratio,geps_before,geps_after,geps_delta,geps_delta_ratio,phis_before,phis_after,phis_delta,phis_delta_ratio,selects_before,selects_after,selects_delta,selects_delta_ratio,switches_before,switches_after,switches_delta,switches_delta_ratio,unreachable_before,unreachable_after,unreachable_delta,unreachable_delta_ratio,memory_ops_before,memory_ops_after,memory_ops_delta,memory_ops_delta_ratio,scalar_cleanup_ops_before,scalar_cleanup_ops_after,scalar_cleanup_ops_delta,scalar_cleanup_ops_delta_ratio,vector_instructions_before,vector_instructions_after,vector_instructions_delta,vector_instructions_delta_ratio
own_v1,O2,h00032,custom_residual_strip,bundle_storage_delift,bundle_residual_strip,False,9,9,0,0.0,70,70,0,0.0,759,759,0,0.0,5,5,0,0.0,12,12,0,0.0,10,10,0,0.0,2,2,0,0.0,4,4,0,0.0,1,1,0,0.0,65,65,0,0.0,387,387,0,0.0,57,57,0,0.0,28,28,0,0.0,19,19,0,0.0,2,2,0,0.0,0,0,0,,510,510,0,0.0,108,108,0,0.0,0,0,0,
own_v1,O2,h00032,final_tail_opt_4_plus_custom_cleanup,bundle_residual_strip,final_clean,False,9,9,0,0.0,70,70,0,0.0,759,727,-32,-0.04216073781291173,5,5,0,0.0,12,12,0,0.0,10,10,0,0.0,2,2,0,0.0,4,4,0,0.0,1,1,0,0.0,65,65,0,0.0,387,355,-32,-0.082687338501292,57,57,0,0.0,28,28,0,0.0,19,19,0,0.0,2,2,0,0.0,0,0,0,,510,478,-32,-0.06274509803921569,108,108,0,0.0,0,0,0,
own_v1,O2,h00033,main_combined_custom_plus_opt_1_2,raw_lift,brightened_main,False,27,9,-18,-0.6666666666666666,147,62,-85,-0.5782312925170068,1750,1423,-327,-0.18685714285714286,58,6,-52,-0.896551724137931,49,34,-15,-0.30612244897959184,44,32,-12,-0.2727272727272727,5,2,-3,-0.6,16,13,-3,-0.1875,0,5,5,,116,137,21,0.1810344827586207,308,694,386,1.2532467532467533,4,48,44,11.0,4,33,29,7.25,18,20,2,0.1111111111111111,0,2,2,,4,0,-4,-1.0,428,884,456,1.0654205607476634,548,247,-301,-0.5492700729927007,0,0,0,
own_v1,O2,h00033,bundle_exact_pointer_passes,bundle_verified_input,bundle_pointer_opt,False,9,9,0,0.0,62,62,0,0.0,1423,1416,-7,-0.004919184820801124,6,6,0,0.0,34,34,0,0.0,32,32,0,0.0,2,2,0,0.0,13,13,0,0.0,5,5,0,0.0,137,137,0,0.0,694,694,0,0.0,48,48,0,0.0,33,29,-4,-0.12121212121212122,20,20,0,0.0,2,2,0,0.0,0,0,0,,884,884,0,0.0,247,240,-7,-0.02834008097165992,0,0,0,
own_v1,O2,h00033,llvm_default_opt_boundary_3,bundle_pointer_opt,bundle_standard_opt_3,True,9,9,0,0.0,62,62,0,0.0,1416,1135,-281,-0.1984463276836158,6,6,0,0.0,34,31,-3,-0.08823529411764706,32,29,-3,-0.09375,2,2,0,0.0,13,12,-1,-0.07692307692307693,5,5,0,0.0,137,103,-34,-0.24817518248175183,694,463,-231,-0.33285302593659943,48,48,0,0.0,29,27,-2,-0.06896551724137931,20,20,0,0.0,2,2,0,0.0,0,0,0,,884,619,-265,-0.2997737556561086,240,233,-7,-0.029166666666666667,0,0,0,
own_v1,O2,h00033,custom_storage_delift,bundle_standard_opt_3,bundle_storage_delift,False,9,9,0,0.0,62,62,0,0.0,1135,1135,0,0.0,6,6,0,0.0,31,31,0,0.0,29,29,0,0.0,2,2,0,0.0,12,12,0,0.0,5,5,0,0.0,103,103,0,0.0,463,463,0,0.0,48,48,0,0.0,27,27,0,0.0,20,20,0,0.0,2,2,0,0.0,0,0,0,,619,619,0,0.0,233,233,0,0.0,0,0,0,
own_v1,O2,h00033,custom_residual_strip,bundle_storage_delift,bundle_residual_strip,False,9,9,0,0.0,62,62,0,0.0,1135,1135,0,0.0,6,6,0,0.0,31,31,0,0.0,29,29,0,0.0,2,2,0,0.0,12,12,0,0.0,5,5,0,0.0,103,103,0,0.0,463,463,0,0.0,48,48,0,0.0,27,27,0,0.0,20,20,0,0.0,2,2,0,0.0,0,0,0,,619,619,0,0.0,233,233,0,0.0,0,0,0,
own_v1,O2,h00033,final_tail_opt_4_plus_custom_cleanup,bundle_residual_strip,final_clean,False,9,9,0,0.0,62,62,0,0.0,1135,1118,-17,-0.014977973568281937,6,6,0,0.0,31,31,0,0.0,29,29,0,0.0,2,2,0,0.0,12,12,0,0.0,5,5,0,0.0,103,103,0,0.0,463,448,-15,-0.032397408207343416,48,48,0,0.0,27,27,0,0.0,20,20,0,0.0,2,2,0,0.0,0,0,0,,619,604,-15,-0.024232633279483037,233,231,-2,-0.008583690987124463,0,0,0,
own_v1,O2,h00034,main_combined_custom_plus_opt_1_2,raw_lift,brightened_main,False,32,9,-23,-0.71875,171,71,-100,-0.5847953216374269,1816,1540,-276,-0.15198237885462554,67,5,-62,-0.9253731343283582,55,25,-30,-0.5454545454545454,50,23,-27,-0.54,5,2,-3,-0.6,15,6,-9,-0.6,0,1,1,,122,132,10,0.08196721311475409,323,866,543,1.6811145510835914,4,87,83,20.75,2,39,37,18.5,17,28,11,0.6470588235294118,0,2,2,,3,0,-3,-1.0,449,1086,637,1.418708240534521,568,203,-365,-0.6426056338028169,0,0,0,
own_v1,O2,h00034,bundle_exact_pointer_passes,bundle_verified_input,bundle_pointer_opt,False,9,9,0,0.0,71,71,0,0.0,1540,1534,-6,-0.003896103896103896,5,5,0,0.0,25,25,0,0.0,23,23,0,0.0,2,2,0,0.0,6,6,0,0.0,1,1,0,0.0,132,132,0,0.0,866,866,0,0.0,87,87,0,0.0,39,36,-3,-0.07692307692307693,28,28,0,0.0,2,2,0,0.0,0,0,0,,1086,1086,0,0.0,203,197,-6,-0.029556650246305417,0,0,0,
