dataset,level,sample_id,stage,functions,blocks,instructions,conditional_branches,calls,direct_calls,indirect_calls,intrinsics,allocas,loads,stores,geps,phis,selects,switches,unreachable,memory_ops,scalar_cleanup_ops,vector_instructions,structural_sha256
own_v1,O1,h00009,raw_lift,26,147,1361,58,36,31,5,8,0,86,216,5,2,16,0,3,307,426,0,8410b56e1dae27b59d951ee9cecfd837d7595b58ac1bb1abbe5afaf007023976
own_v1,O1,h00009,brightened_main,2,46,271,1,4,4,0,1,3,40,63,53,0,15,1,0,159,32,0,b6fc975d609a1d14c5403c659b314a6e20405660af9d3254bd8756ba0d6d4c07
own_v1,O1,h00009,bundle_verified_input,2,46,271,1,4,4,0,1,3,40,63,53,0,15,1,0,159,32,0,c2dda85470530bf12d159548dfb3a46eed55adfe48cb63eba74851c49614346d
own_v1,O1,h00009,bundle_pointer_opt,2,46,271,1,4,4,0,1,3,40,63,53,0,15,1,0,159,32,0,9b3537fc5c336f1e60d6956f77ecee096d28305b202d516686d1a929ada75c97
own_v1,O1,h00009,bundle_standard_opt_3,2,46,239,1,4,4,0,1,3,40,63,21,0,15,1,0,127,32,0,6b25db37f8580f4b4fbd193111dd22e741a9c5ce4da11f1669dbc4dc9e7578c9
own_v1,O1,h00009,bundle_storage_delift,2,46,239,1,4,4,0,1,3,40,63,21,0,15,1,0,127,32,0,6b25db37f8580f4b4fbd193111dd22e741a9c5ce4da11f1669dbc4dc9e7578c9
own_v1,O1,h00009,bundle_residual_strip,2,46,239,1,4,4,0,1,3,40,63,21,0,15,1,0,127,32,0,6b25db37f8580f4b4fbd193111dd22e741a9c5ce4da11f1669dbc4dc9e7578c9
own_v1,O1,h00009,final_clean,1,45,238,1,4,4,0,1,3,40,63,21,0,15,1,0,127,32,0,ecdb0d334552d5bbf8c0a72f59a3be96adacedf6a91cdf8d56644d2b93e1fc50
own_v1,O1,h00010,raw_lift,30,124,1513,44,43,37,6,10,0,112,234,8,2,10,0,3,354,445,0,8cbbe7eecd8c3c6346b6f8b00f44c5eef2f164ff2c8c7ac870cac902b909ef68
own_v1,O1,h00010,brightened_main,11,49,1175,4,25,22,3,12,4,138,576,73,37,13,2,0,791,167,0,b4481be8efb8dec3312ae400dc95010e3ecc5523836b2e893fe845c46eeefc60
own_v1,O1,h00010,bundle_verified_input,11,49,1175,4,25,22,3,12,4,138,576,73,37,13,2,0,791,167,0,20b73c2ab47ab7142131618d43978e1b63bd51bc4ca9d8af0508e81d48c4ba08
own_v1,O1,h00010,bundle_pointer_opt,11,49,1155,4,25,22,3,12,4,136,576,71,31,13,2,0,787,156,0,a8a05bccabb8c27df44b4287db164fbc5d64cd2846b6474cb8d826879b7ebaef
own_v1,O1,h00010,bundle_standard_opt_3,11,49,1039,4,24,21,3,12,4,100,498,71,31,13,2,0,673,155,0,5e15d6ebde96d7380fa48fc7995054e351854b6c0d377c5f5e67ed1beddf2262
own_v1,O1,h00010,bundle_storage_delift,11,49,1039,4,24,21,3,12,4,100,498,71,31,13,2,0,673,155,0,5e15d6ebde96d7380fa48fc7995054e351854b6c0d377c5f5e67ed1beddf2262
own_v1,O1,h00010,bundle_residual_strip,11,49,1039,4,24,21,3,12,4,100,498,71,31,13,2,0,673,155,0,5e15d6ebde96d7380fa48fc7995054e351854b6c0d377c5f5e67ed1beddf2262
own_v1,O1,h00010,final_clean,11,49,932,4,24,21,3,12,4,100,391,71,31,13,2,0,566,155,0,5c0182e37be9ef3a9346e1d7b61c3a8b8feaa36f5fa244ddfb03b834739af4f5
own_v1,O1,h00011,raw_lift,26,102,1082,36,34,29,5,7,0,70,174,5,3,7,1,3,249,344,0,97c2d2bcf35688d91a097d0c773741fdea08bfacdcab7df22307ff1e4cd19677
own_v1,O1,h00011,brightened_main,2,24,177,2,3,3,0,1,2,23,39,39,4,6,2,0,103,21,0,c34c5a1b958356081c2271ee1cc3feee41b990b57800f59d9e9be0a234d444e5
own_v1,O1,h00011,bundle_verified_input,2,24,177,2,3,3,0,1,2,23,39,39,4,6,2,0,103,21,0,84e2606beadc2e74fd512fd913dfaf148a9d1b7e54058a99aab8b58d98729c20
own_v1,O1,h00011,bundle_pointer_opt,2,24,177,2,3,3,0,1,2,23,39,39,4,6,2,0,103,21,0,4c8f68744d9abd87b31c50dcb1205bfd3f699a69f82d4a930b0ea6706a53af05
own_v1,O1,h00011,bundle_standard_opt_3,2,24,156,2,3,3,0,1,2,23,39,18,4,6,2,0,82,21,0,9361c75063742f5e7400b6652672777ecff994ed7af52b29492a21a7ad2c0aa7
own_v1,O1,h00011,bundle_storage_delift,2,24,156,2,3,3,0,1,2,23,39,18,4,6,2,0,82,21,0,9361c75063742f5e7400b6652672777ecff994ed7af52b29492a21a7ad2c0aa7
own_v1,O1,h00011,bundle_residual_strip,2,24,156,2,3,3,0,1,2,23,39,18,4,6,2,0,82,21,0,9361c75063742f5e7400b6652672777ecff994ed7af52b29492a21a7ad2c0aa7
own_v1,O1,h00011,final_clean,1,23,155,2,3,3,0,1,2,23,39,18,4,6,2,0,82,21,0,f7b5eb55127730e7f2626594a1a8ac8ccc2d366724e70a8f2e2be9de4dbff151
own_v1,O1,h00012,raw_lift,26,83,1002,26,35,30,5,8,0,59,159,5,2,4,0,3,223,317,0,e3aba7a84f5720bc07412fc1df8eb274ffb0797f9986486d158781baa5886bc8
own_v1,O1,h00012,brightened_main,2,15,118,1,2,2,0,0,2,13,26,23,2,3,1,0,64,10,0,f4f46e5b7d0d758a216fdea718167624ca8b88ef6293ddafa69c7b78c0416d55
own_v1,O1,h00012,bundle_verified_input,2,15,118,1,2,2,0,0,2,13,26,23,2,3,1,0,64,10,0,108c0c61199b37c948da3f1e6f542b478d61ab48d474f045455b3f7e20533abd
own_v1,O1,h00012,bundle_pointer_opt,2,15,118,1,2,2,0,0,2,13,26,23,2,3,1,0,64,10,0,5a691e22c62d1caf2ab56d6337c8d8ed1f35c7dd15015c653c254723a545d02b
own_v1,O1,h00012,bundle_standard_opt_3,2,15,108,1,2,2,0,0,2,13,26,13,2,3,1,0,54,10,0,074655adafab2d2fce663f92340a616962629aab90b0976fb5487f02285e544c
own_v1,O1,h00012,bundle_storage_delift,2,15,108,1,2,2,0,0,2,13,26,13,2,3,1,0,54,10,0,074655adafab2d2fce663f92340a616962629aab90b0976fb5487f02285e544c
own_v1,O1,h00012,bundle_residual_strip,2,15,108,1,2,2,0,0,2,13,26,13,2,3,1,0,54,10,0,074655adafab2d2fce663f92340a616962629aab90b0976fb5487f02285e544c
own_v1,O1,h00012,final_clean,1,14,107,1,2,2,0,0,2,13,26,13,2,3,1,0,54,10,0,cd97482deb76c89056dd371084852360ac416baf1573942b71e653bae3d95060
own_v1,O1,h00013,raw_lift,26,94,1005,33,37,32,5,7,0,65,191,5,2,5,0,6,261,283,0,e10a39e6f98b6ed2b0724fae4e3de897d84fd4be6417ab14f74123181b9f156a
own_v1,O1,h00013,brightened_main,2,18,147,1,3,3,0,1,4,22,31,29,0,4,1,0,86,10,0,fdc8e409d3d2a7bf4a07f62e491a6431018daba41cc20f15c672cf05756a8502
own_v1,O1,h00013,bundle_verified_input,2,18,147,1,3,3,0,1,4,22,31,29,0,4,1,0,86,10,0,af388a568db442b531cc23c0be85fdb625d0d1bbfac6fd4b239d68053b6a871b
own_v1,O1,h00013,bundle_pointer_opt,2,18,147,1,3,3,0,1,4,22,31,29,0,4,1,0,86,10,0,46d723ee69e4fda205db8f47102ab0d85ea741b2d37c212db8fa4f0e3ac5b7d8
own_v1,O1,h00013,bundle_standard_opt_3,2,18,135,1,3,3,0,1,4,22,31,17,0,4,1,0,74,10,0,962e4d97f75b4b0f60eb19ebe137c32d3d3e8ebd0a5ea686e2bd7ce96c168cb7
own_v1,O1,h00013,bundle_storage_delift,2,18,135,1,3,3,0,1,4,22,31,17,0,4,1,0,74,10,0,962e4d97f75b4b0f60eb19ebe137c32d3d3e8ebd0a5ea686e2bd7ce96c168cb7
own_v1,O1,h00013,bundle_residual_strip,2,18,135,1,3,3,0,1,4,22,31,17,0,4,1,0,74,10,0,962e4d97f75b4b0f60eb19ebe137c32d3d3e8ebd0a5ea686e2bd7ce96c168cb7
own_v1,O1,h00013,final_clean,1,17,134,1,3,3,0,1,4,22,31,17,0,4,1,0,74,10,0,35d5beadc50a18918654b0e1b5c5ac79be976c9fc62adae6da82037191c16c3a
own_v1,O1,h00014,raw_lift,27,151,1862,61,49,44,5,15,0,107,298,8,2,14,0,7,413,610,0,2588e2a878be21913c57d77890381521f549247be6910f9226c4006b0c65e4bd
own_v1,O1,h00014,brightened_main,3,48,1314,6,9,9,0,4,4,134,701,10,51,13,4,0,849,222,0,cd8d159bb7629d3cef36aee608570e5d5db857eb56a37b7b85f2612f0cd33d04
own_v1,O1,h00014,bundle_verified_input,3,48,1314,6,9,9,0,4,4,134,701,10,51,13,4,0,849,222,0,7193ea081373b8320c59926e5b73b93c9fa6946e8d157628aae9ac21e4245a17
own_v1,O1,h00014,bundle_pointer_opt,3,48,1305,6,9,9,0,4,4,134,701,10,51,13,4,0,849,213,0,f41572343f9b1dc88922b1dda9529c6b9bfd560906f19e65bcd178de14d0948f
own_v1,O1,h00014,bundle_standard_opt_3,3,48,1189,6,9,9,0,4,4,103,639,10,49,13,4,0,756,209,0,eb1aa83ff2055bbcdb424331710666e2e1ab53dbd752ea6d5c144fd84ae97f10
own_v1,O1,h00014,bundle_storage_delift,3,48,1189,6,9,9,0,4,4,103,639,10,49,13,4,0,756,209,0,eb1aa83ff2055bbcdb424331710666e2e1ab53dbd752ea6d5c144fd84ae97f10
own_v1,O1,h00014,bundle_residual_strip,3,48,1189,6,9,9,0,4,4,103,639,10,49,13,4,0,756,209,0,eb1aa83ff2055bbcdb424331710666e2e1ab53dbd752ea6d5c144fd84ae97f10
own_v1,O1,h00014,final_clean,2,47,1095,6,9,9,0,4,4,101,550,10,49,13,4,0,665,207,0,23444209de4602f292e8f52df59f12c9b132b0a3825bac4bf69eb578a3dce791
