dataset,level,sample_id,transition,pure_default_optimizer_boundary,opcode,before,after,delta
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,add,6,6,0
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,alloca,2,2,0
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,and,5,5,0
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,br,11,11,0
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,call,2,2,0
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,getelementptr,13,13,0
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,icmp,3,3,0
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,inttoptr,1,1,0
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,load,13,13,0
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,lshr,2,2,0
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,mul,1,1,0
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,phi,2,2,0
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,ptrtoint,1,1,0
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,ret,2,1,-1
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,select,3,3,0
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,shl,6,6,0
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,store,26,26,0
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,switch,1,1,0
own_v1,O1,h00012,final_tail_opt_4_plus_custom_cleanup,False,xor,8,8,0
own_v1,O1,h00013,main_combined_custom_plus_opt_1_2,False,add,46,6,-40
own_v1,O1,h00013,main_combined_custom_plus_opt_1_2,False,alloca,0,4,4
own_v1,O1,h00013,main_combined_custom_plus_opt_1_2,False,and,85,5,-80
own_v1,O1,h00013,main_combined_custom_plus_opt_1_2,False,ashr,24,0,-24
