dataset,level,sample_id,boundary,production_replay_valid,opcode,before,after,delta
public_v1,O1,p00165,main_default_opt_1,True,sext,4,4,0
public_v1,O1,p00165,main_default_opt_1,True,shl,2,2,0
public_v1,O1,p00165,main_default_opt_1,True,store,199,199,0
public_v1,O1,p00165,main_default_opt_1,True,sub,21,3,-18
public_v1,O1,p00165,main_default_opt_1,True,trunc,3,1,-2
public_v1,O1,p00165,main_default_opt_1,True,xor,8,9,1
public_v1,O1,p00165,main_default_opt_1,True,zext,15,15,0
public_v1,O1,p00165,main_default_opt_2,True,add,95,95,0
public_v1,O1,p00165,main_default_opt_2,True,alloca,5,5,0
public_v1,O1,p00165,main_default_opt_2,True,and,110,4,-106
public_v1,O1,p00165,main_default_opt_2,True,br,24,24,0
public_v1,O1,p00165,main_default_opt_2,True,call,11,13,2
public_v1,O1,p00165,main_default_opt_2,True,getelementptr,151,137,-14
public_v1,O1,p00165,main_default_opt_2,True,icmp,124,88,-36
public_v1,O1,p00165,main_default_opt_2,True,inttoptr,41,36,-5
public_v1,O1,p00165,main_default_opt_2,True,load,72,72,0
public_v1,O1,p00165,main_default_opt_2,True,mul,2,2,0
public_v1,O1,p00165,main_default_opt_2,True,or,90,2,-88
public_v1,O1,p00165,main_default_opt_2,True,phi,14,14,0
