dataset,level,sample_id,boundary,before_path,after_path,production_replay_valid,functions_before,functions_after,functions_delta,blocks_before,blocks_after,blocks_delta,instructions_before,instructions_after,instructions_delta,conditional_branches_before,conditional_branches_after,conditional_branches_delta,calls_before,calls_after,calls_delta,direct_calls_before,direct_calls_after,direct_calls_delta,indirect_calls_before,indirect_calls_after,indirect_calls_delta,intrinsics_before,intrinsics_after,intrinsics_delta,allocas_before,allocas_after,allocas_delta,loads_before,loads_after,loads_delta,stores_before,stores_after,stores_delta,geps_before,geps_after,geps_delta,phis_before,phis_after,phis_delta,selects_before,selects_after,selects_delta,switches_before,switches_after,switches_delta,unreachable_before,unreachable_after,unreachable_delta,memory_ops_before,memory_ops_after,memory_ops_delta,scalar_cleanup_ops_before,scalar_cleanup_ops_after,scalar_cleanup_ops_delta,vector_instructions_before,vector_instructions_after,vector_instructions_delta
public_v1,O1,p00327,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00327/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00327/main_opt_2.after.ll,True,3,2,-1,29,26,-3,740,714,-26,18,19,1,8,7,-1,8,7,-1,0,0,0,4,4,0,3,3,0,52,55,3,142,148,6,101,93,-8,9,11,2,66,61,-5,0,0,0,0,0,0,298,299,1,230,219,-11,0,0,0
public_v1,O1,p00327,bundle_default_opt_3,/home/dungbv/clau/result/ir_public_o1_20260816/p00327/p00327_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00327/bundle_default_opt_3.after.ll,True,4,4,0,30,32,2,567,566,-1,19,19,0,21,21,0,21,21,0,0,0,0,4,4,0,3,3,0,50,50,0,148,153,5,57,56,-1,9,8,-1,25,25,0,0,0,0,0,0,0,258,262,4,133,128,-5,0,0,0
public_v1,O1,p00327,bundle_default_opt_4,/home/dungbv/clau/result/ir_public_o1_20260816/p00327/p00327_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00327/bundle_default_opt_4.after.ll,True,4,4,0,32,32,0,566,562,-4,19,19,0,21,21,0,21,21,0,0,0,0,4,4,0,3,3,0,50,50,0,153,153,0,56,56,0,8,8,0,25,25,0,0,0,0,0,0,0,262,262,0,128,128,0,0,0,0
public_v1,O1,p00327,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00327/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/ir_public_o1_20260816/p00327/p00327_final.ll,True,4,4,0,32,33,1,562,477,-85,19,19,0,21,21,0,21,21,0,0,0,0,4,4,0,3,3,0,50,44,-6,153,71,-82,56,56,0,8,18,10,25,17,-8,0,0,0,0,0,0,262,174,-88,128,130,2,0,0,0
public_v1,O1,p00678,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00678/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00678/main_opt_1.after.ll,True,6,5,-1,93,79,-14,1815,1253,-562,32,21,-11,43,31,-12,43,31,-12,0,0,0,25,14,-11,11,7,-4,123,112,-11,229,169,-60,250,143,-107,78,77,-1,50,20,-30,8,5,-3,3,3,0,613,431,-182,492,306,-186,0,0,0
public_v1,O1,p00678,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00678/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00678/main_opt_2.after.ll,True,5,5,0,79,78,-1,1426,1169,-257,21,18,-3,29,29,0,29,29,0,0,0,0,12,12,0,7,7,0,100,100,0,141,141,0,149,125,-24,77,77,0,26,20,-6,5,4,-1,3,3,0,397,373,-24,320,293,-27,0,0,0
public_v1,O1,p00678,bundle_default_opt_3,/home/dungbv/clau/result/ir_public_o1_20260816/p00678/p00678_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00678/bundle_default_opt_3.after.ll,True,5,5,0,78,78,0,1169,1169,0,18,18,0,29,29,0,29,29,0,0,0,0,12,12,0,7,7,0,100,100,0,141,141,0,125,125,0,77,77,0,20,20,0,4,4,0,3,3,0,373,373,0,293,293,0,0,0,0
public_v1,O1,p00678,bundle_default_opt_4,/home/dungbv/clau/result/ir_public_o1_20260816/p00678/p00678_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00678/bundle_default_opt_4.after.ll,True,5,5,0,78,78,0,1169,1169,0,18,18,0,29,29,0,29,29,0,0,0,0,12,12,0,7,7,0,100,100,0,141,141,0,125,125,0,77,77,0,20,20,0,4,4,0,3,3,0,373,373,0,293,293,0,0,0,0
public_v1,O1,p00678,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00678/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/ir_public_o1_20260816/p00678/p00678_final.ll,True,5,5,0,78,78,0,1169,1173,4,18,18,0,29,29,0,29,29,0,0,0,0,12,12,0,7,7,0,100,91,-9,141,141,0,125,125,0,77,88,11,20,20,0,4,4,0,3,3,0,373,364,-9,293,306,13,0,0,0
public_v1,O1,p00693,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00693/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00693/main_opt_1.after.ll,True,4,3,-1,41,36,-5,1388,1015,-373,15,19,4,32,17,-15,32,17,-15,0,0,0,24,10,-14,11,5,-6,108,77,-31,260,228,-32,270,188,-82,16,8,-8,98,100,2,0,0,0,0,0,0,649,498,-151,344,287,-57,0,0,0
public_v1,O1,p00693,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00693/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00693/main_opt_2.after.ll,True,3,3,0,36,36,0,1193,845,-348,19,19,0,15,17,2,15,17,2,0,0,0,8,10,2,5,5,0,64,52,-12,200,194,-6,201,162,-39,8,8,0,112,91,-21,0,0,0,0,0,0,470,413,-57,316,246,-70,0,0,0
public_v1,O1,p00693,bundle_default_opt_3,/home/dungbv/clau/result/ir_public_o1_20260816/p00693/p00693_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_public_20260816/artifacts/O1/p00693/bundle_default_opt_3.after.ll,True,5,5,0,40,39,-1,670,653,-17,19,20,1,32,32,0,32,32,0,0,0,0,10,10,0,5,5,0,51,52,1,194,198,4,107,105,-2,9,4,-5,49,50,1,0,0,0,0,0,0,357,360,3,153,146,-7,0,0,0
