experiment_id,sample_id,flow_id,repeat_id,llm_calls,input_tokens,output_tokens,total_tokens,estimated_api_cost,llm_latency,preprocessing_time,compile_time,fuzzing_time,total_runtime,time_to_first_candidate,time_to_first_compilable_candidate,time_to_first_behavioral_pass_candidate,compiler_attempts,compile_repair_rounds,behavioral_repair_rounds,counterexamples_used,peak_memory,cpu_time
experiment_20260821_162746,p01970,B2,0,1,36655,562,37217,,20.33336114883423,,0.10687494277954102,94.12053561210632,114.59859299659729,,,,1,0,0,0,,
experiment_20260821_162746,p01970,F1,0,1,45143,718,45861,,38.431883096694946,,0.15312552452087402,119.59308099746704,158.21709179878235,,,,1,0,0,0,,
experiment_20260821_162746,p01970,F2,0,1,243380,1081,244461,,65.56962060928345,,0.3922717571258545,158.79041004180908,224.84552550315857,,,,1,0,0,0,,
experiment_20260821_162746,p01970,F3,0,1,48351,630,48981,,42.51776146888733,,0.23951387405395508,129.90907526016235,172.75224423408508,,,,1,0,0,0,,
experiment_20260821_162746,p02029,B1,0,1,54987,16095,71082,,56.949461698532104,,0.0,0.0,56.962846517562866,,,,0,0,0,0,,
experiment_20260821_162746,p02029,B2,0,1,99244,2555,101799,,107.67511916160583,,0.0,0.0,107.67941784858704,,,,0,0,0,0,,
experiment_20260821_162746,p02029,F1,0,3,273141,3950,277091,,261.4009234905243,,0.28203392028808594,9.329322576522827,271.0775852203369,,,,3,0,2,14,,
experiment_20260821_162746,p02029,F2,0,5,1573752,7540,1581292,,545.4276142120361,,0.38327717781066895,459.72588753700256,1005.648983001709,,,,4,0,3,21,,
experiment_20260821_162746,p02029,F3,0,1,81557,1359,82916,,94.26974821090698,,0.13881254196166992,5.988507270812988,100.42853426933289,,,,1,0,0,0,,
experiment_20260821_162746,p02100,B1,0,1,13215,5555,18770,,11.63986349105835,,0.0,0.0,11.647924661636353,,,,0,0,0,0,,
experiment_20260821_162746,p02100,B2,0,1,20573,503,21076,,6.964544296264648,,0.0624544620513916,198.70443153381348,205.7482259273529,,,,1,0,0,0,,
experiment_20260821_162746,p02100,F1,0,1,39600,436,40036,,34.759706020355225,,0.07723307609558105,1.7164461612701416,36.571332693099976,,,,1,0,0,0,,
