sample_id,category,treatment,status,failure_reason,llm_calls,input_tokens,output_tokens,total_runtime_seconds,compile_success_first,compile_success_final,iteration1_outcome,compiler_attempts,compile_repair_rounds,behavioral_repair_rounds,behavior_before_repair,behavior_after_repair,fuzz_total,fuzz_matches,fuzz_trajectory_matches_mismatches_inconclusive,max_tokens_responses,instructions_raw,instructions_clean,instruction_reduction,basic_blocks_raw,basic_blocks_clean,bb_reduction,conditional_branches_raw,conditional_branches_clean,branches_reduction,prepared_binary_status,native_contract_status,native_output_class,native_contract_violations
h00009,parsing_state_machine,F3-O2,PASS,PASS,1,27484,393,16.675078868865967,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1361,279,0.7950036737692873,151,45,0.7019867549668874,58,1,0.9827586206896551,PASS,non_compliant,compat_runnable,1
h00009,parsing_state_machine,F3-O3,PASS,PASS,1,28651,314,17.190984964370728,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1361,279,0.7950036737692873,151,45,0.7019867549668874,58,1,0.9827586206896551,PASS,non_compliant,compat_runnable,1
h00010,arrays_windows,B0,PASS,PASS,1,22917,3472,29.321415443999285,True,True,FUZZ_1000/0/0,1,0,0,,,1000,1000,i1:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00010,arrays_windows,B1,PASS,PASS,2,50827,5011,43.72601652145386,True,True,FUZZ_257/743/0,2,0,1,"matches=257, mismatches=743","matches=1000, mismatches=0",1000,1000,i1:257/743/0;i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00010,arrays_windows,B2,FAIL_BEHAVIORAL,FAIL_BEHAVIORAL,1,14368,498,9.348334789276123,True,True,FUZZ_0/1000/0,1,0,0,"matches=0, mismatches=1000","matches=0, mismatches=1000",1000,0,i1:0/1000/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00010,arrays_windows,B3,PASS,PASS,1,13907,564,7.335476875305176,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00010,arrays_windows,F3-O1,PASS,PASS,1,76000,550,51.92087411880493,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1513,960,0.3654990085922009,128,49,0.6171875,44,4,0.9090909090909091,FAIL,non_compliant,compat_runnable,16
h00010,arrays_windows,F3-O2,PASS,PASS,1,58745,548,27.986489057540894,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1513,958,0.3668208856576338,128,49,0.6171875,44,4,0.9090909090909091,FAIL,non_compliant,compat_runnable,16
h00010,arrays_windows,F3-O3,PASS,PASS,1,54074,553,19.157679080963135,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1513,958,0.3668208856576338,128,49,0.6171875,44,4,0.9090909090909091,FAIL,non_compliant,compat_runnable,16
h00011,numeric_bitwise,B0,INCONCLUSIVE,RecoveryError: LLM response is incomplete: missing a real int main(...) definition.,1,14456,2298,18.63784661400132,False,False,NO_COMPLETED_VALIDATION,0,0,0,,,0,0,,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00011,numeric_bitwise,B1,PASS,PASS,2,35587,5829,30.65387988090515,False,True,REJECT_UNDEFINED_WIDTH,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00011,numeric_bitwise,B2,FAIL_BEHAVIORAL,FAIL_BEHAVIORAL,1,12821,318,9.10003399848938,True,True,FUZZ_0/1000/0,1,0,0,"matches=0, mismatches=1000","matches=0, mismatches=1000",1000,0,i1:0/1000/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00011,numeric_bitwise,B3,PASS,PASS,2,32812,595,21.71627688407898,True,True,FUZZ_0/1000/0,2,0,1,"matches=0, mismatches=1000","matches=1000, mismatches=0",1000,1000,i1:0/1000/0;i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00011,numeric_bitwise,F3-O1,PASS,PASS,1,23502,438,15.982995748519897,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1085,176,0.8377880184331797,109,25,0.7706422018348624,36,2,0.9444444444444444,PASS,non_compliant,compat_runnable,2
h00011,numeric_bitwise,F3-O2,PASS,PASS,1,23951,320,17.020395278930664,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1085,176,0.8377880184331797,109,25,0.7706422018348624,36,2,0.9444444444444444,PASS,non_compliant,compat_runnable,2
h00011,numeric_bitwise,F3-O3,PASS,PASS,1,22643,404,14.982527017593384,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1085,176,0.8377880184331797,109,25,0.7706422018348624,36,2,0.9444444444444444,PASS,non_compliant,compat_runnable,2
h00012,numeric_bitwise,B0,PASS,PASS,1,10679,2006,17.423460810001416,True,True,FUZZ_1000/0/0,1,0,0,,,1000,1000,i1:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00012,numeric_bitwise,B1,PASS,PASS,2,28219,2688,24.611263275146484,False,True,REJECT_IMPORT_THUNK,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00012,numeric_bitwise,B2,FAIL_BEHAVIORAL,FAIL_BEHAVIORAL,1,10079,202,11.793145895004272,True,True,FUZZ_0/1000/0,1,0,0,"matches=0, mismatches=1000","matches=0, mismatches=1000",1000,0,i1:0/1000/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00012,numeric_bitwise,B3,PASS,PASS,2,37462,421,36.61984181404114,True,True,FUZZ_0/1000/0,2,0,1,"matches=0, mismatches=1000","matches=1000, mismatches=0",1000,1000,i1:0/1000/0;i2:1000/0/0,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
h00012,numeric_bitwise,F3-O1,PASS,PASS,1,18580,345,16.545899152755737,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1002,117,0.8832335329341318,87,14,0.8390804597701149,26,1,0.9615384615384616,PASS,non_compliant,compat_runnable,2
h00012,numeric_bitwise,F3-O2,PASS,PASS,1,22938,254,19.954761743545532,True,True,FUZZ_1000/0/0,1,0,0,"matches=1000, mismatches=0","matches=1000, mismatches=0",1000,1000,i1:1000/0/0,0,1002,117,0.8832335329341318,87,14,0.8390804597701149,26,1,0.9615384615384616,PASS,non_compliant,compat_runnable,2
h00012,numeric_bitwise,F3-O3,FAIL_BEHAVIORAL,FAIL_BEHAVIORAL,5,199006,6152,197.49975514411926,True,True,FUZZ_0/1000/0,3,0,3,"matches=0, mismatches=1000","matches=11, mismatches=989",1000,11,i1:0/1000/0;i3:9/991/0;i4:11/989/0,1,1002,117,0.8832335329341318,87,14,0.8390804597701149,26,1,0.9615384615384616,PASS,non_compliant,compat_runnable,2
h00013,numeric_bitwise,B0,INCONCLUSIVE,RecoveryError: LLM response still contains unsupported decompiler artifact: decompiler undefined-width type.,1,12740,1684,18.251283798002987,False,False,NO_COMPLETED_VALIDATION,0,0,0,,,0,0,,0,0,0,0.0,0,0,0.0,0,0,0.0,,,,
