dataset,level,sample_id,boundary,production_replay_valid,opcode,before,after,delta
own_v1,O1,h00003,main_default_opt_2,True,ret,2,2,0
own_v1,O1,h00003,main_default_opt_2,True,select,11,11,0
own_v1,O1,h00003,main_default_opt_2,True,sext,1,1,0
own_v1,O1,h00003,main_default_opt_2,True,shl,4,4,0
own_v1,O1,h00003,main_default_opt_2,True,store,52,54,2
own_v1,O1,h00003,main_default_opt_2,True,sub,3,3,0
own_v1,O1,h00003,main_default_opt_2,True,switch,1,1,0
own_v1,O1,h00003,main_default_opt_2,True,trunc,1,1,0
own_v1,O1,h00003,main_default_opt_2,True,xor,4,4,0
own_v1,O1,h00003,main_default_opt_2,True,zext,1,1,0
own_v1,O1,h00003,bundle_default_opt_3,True,add,6,6,0
own_v1,O1,h00003,bundle_default_opt_3,True,alloca,2,2,0
own_v1,O1,h00003,bundle_default_opt_3,True,and,5,5,0
own_v1,O1,h00003,bundle_default_opt_3,True,ashr,1,1,0
own_v1,O1,h00003,bundle_default_opt_3,True,br,30,30,0
own_v1,O1,h00003,bundle_default_opt_3,True,call,5,5,0
own_v1,O1,h00003,bundle_default_opt_3,True,getelementptr,52,23,-29
own_v1,O1,h00003,bundle_default_opt_3,True,icmp,13,13,0
own_v1,O1,h00003,bundle_default_opt_3,True,inttoptr,1,1,0
own_v1,O1,h00003,bundle_default_opt_3,True,load,30,30,0
own_v1,O1,h00003,bundle_default_opt_3,True,mul,1,1,0
own_v1,O1,h00003,bundle_default_opt_3,True,phi,2,2,0
own_v1,O1,h00003,bundle_default_opt_3,True,ptrtoint,1,1,0
own_v1,O1,h00003,bundle_default_opt_3,True,ret,2,2,0
own_v1,O1,h00003,bundle_default_opt_3,True,select,11,11,0
own_v1,O1,h00003,bundle_default_opt_3,True,sext,1,1,0
own_v1,O1,h00003,bundle_default_opt_3,True,shl,4,4,0
own_v1,O1,h00003,bundle_default_opt_3,True,store,54,54,0
own_v1,O1,h00003,bundle_default_opt_3,True,sub,3,3,0
own_v1,O1,h00003,bundle_default_opt_3,True,switch,1,1,0
own_v1,O1,h00003,bundle_default_opt_3,True,trunc,1,1,0
own_v1,O1,h00003,bundle_default_opt_3,True,xor,4,4,0
own_v1,O1,h00003,bundle_default_opt_3,True,zext,1,1,0
own_v1,O1,h00003,bundle_default_opt_4,True,add,6,6,0
own_v1,O1,h00003,bundle_default_opt_4,True,alloca,2,2,0
own_v1,O1,h00003,bundle_default_opt_4,True,and,5,5,0
own_v1,O1,h00003,bundle_default_opt_4,True,ashr,1,1,0
own_v1,O1,h00003,bundle_default_opt_4,True,br,30,30,0
own_v1,O1,h00003,bundle_default_opt_4,True,call,5,5,0
own_v1,O1,h00003,bundle_default_opt_4,True,getelementptr,23,23,0
own_v1,O1,h00003,bundle_default_opt_4,True,icmp,13,13,0
own_v1,O1,h00003,bundle_default_opt_4,True,inttoptr,1,1,0
own_v1,O1,h00003,bundle_default_opt_4,True,load,30,30,0
own_v1,O1,h00003,bundle_default_opt_4,True,mul,1,1,0
own_v1,O1,h00003,bundle_default_opt_4,True,phi,2,2,0
own_v1,O1,h00003,bundle_default_opt_4,True,ptrtoint,1,1,0
own_v1,O1,h00003,bundle_default_opt_4,True,ret,2,2,0
own_v1,O1,h00003,bundle_default_opt_4,True,select,11,11,0
own_v1,O1,h00003,bundle_default_opt_4,True,sext,1,1,0
own_v1,O1,h00003,bundle_default_opt_4,True,shl,4,4,0
own_v1,O1,h00003,bundle_default_opt_4,True,store,54,54,0
own_v1,O1,h00003,bundle_default_opt_4,True,sub,3,3,0
own_v1,O1,h00003,bundle_default_opt_4,True,switch,1,1,0
own_v1,O1,h00003,bundle_default_opt_4,True,trunc,1,1,0
own_v1,O1,h00003,bundle_default_opt_4,True,xor,4,4,0
own_v1,O1,h00003,bundle_default_opt_4,True,zext,1,1,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,add,6,6,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,alloca,2,2,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,and,5,5,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,ashr,1,1,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,br,30,30,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,call,5,5,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,getelementptr,23,23,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,icmp,13,13,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,inttoptr,1,1,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,load,30,30,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,mul,1,1,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,phi,2,2,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,ptrtoint,1,1,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,ret,2,1,-1
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,select,11,11,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,sext,1,1,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,shl,4,4,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,store,54,54,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,sub,3,3,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,switch,1,1,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,trunc,1,1,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,xor,4,4,0
own_v1,O1,h00003,bundle_post_opt_4_custom_cleanup,True,zext,1,1,0
own_v1,O1,h00004,main_default_opt_1,True,add,63,63,0
own_v1,O1,h00004,main_default_opt_1,True,alloca,7,5,-2
own_v1,O1,h00004,main_default_opt_1,True,and,28,27,-1
own_v1,O1,h00004,main_default_opt_1,True,br,28,24,-4
own_v1,O1,h00004,main_default_opt_1,True,call,35,28,-7
own_v1,O1,h00004,main_default_opt_1,True,getelementptr,86,62,-24
own_v1,O1,h00004,main_default_opt_1,True,icmp,25,25,0
own_v1,O1,h00004,main_default_opt_1,True,inttoptr,30,30,0
own_v1,O1,h00004,main_default_opt_1,True,load,160,129,-31
own_v1,O1,h00004,main_default_opt_1,True,lshr,11,11,0
own_v1,O1,h00004,main_default_opt_1,True,mul,7,7,0
own_v1,O1,h00004,main_default_opt_1,True,or,1,1,0
own_v1,O1,h00004,main_default_opt_1,True,phi,25,33,8
own_v1,O1,h00004,main_default_opt_1,True,ptrtoint,4,4,0
own_v1,O1,h00004,main_default_opt_1,True,ret,12,9,-3
own_v1,O1,h00004,main_default_opt_1,True,select,14,14,0
own_v1,O1,h00004,main_default_opt_1,True,shl,6,5,-1
own_v1,O1,h00004,main_default_opt_1,True,store,539,521,-18
own_v1,O1,h00004,main_default_opt_1,True,sub,1,1,0
own_v1,O1,h00004,main_default_opt_1,True,switch,3,1,-2
own_v1,O1,h00004,main_default_opt_1,True,trunc,28,23,-5
own_v1,O1,h00004,main_default_opt_1,True,xor,29,29,0
own_v1,O1,h00004,main_default_opt_1,True,zext,40,37,-3
own_v1,O1,h00004,main_default_opt_2,True,add,54,70,16
own_v1,O1,h00004,main_default_opt_2,True,alloca,5,5,0
own_v1,O1,h00004,main_default_opt_2,True,and,43,27,-16
own_v1,O1,h00004,main_default_opt_2,True,br,24,24,0
own_v1,O1,h00004,main_default_opt_2,True,call,28,28,0
own_v1,O1,h00004,main_default_opt_2,True,getelementptr,91,87,-4
own_v1,O1,h00004,main_default_opt_2,True,icmp,57,41,-16
own_v1,O1,h00004,main_default_opt_2,True,inttoptr,25,25,0
own_v1,O1,h00004,main_default_opt_2,True,load,129,129,0
own_v1,O1,h00004,main_default_opt_2,True,lshr,11,11,0
own_v1,O1,h00004,main_default_opt_2,True,mul,7,7,0
own_v1,O1,h00004,main_default_opt_2,True,or,1,1,0
own_v1,O1,h00004,main_default_opt_2,True,phi,33,33,0
own_v1,O1,h00004,main_default_opt_2,True,ptrtoint,12,12,0
own_v1,O1,h00004,main_default_opt_2,True,ret,9,9,0
own_v1,O1,h00004,main_default_opt_2,True,select,30,30,0
own_v1,O1,h00004,main_default_opt_2,True,shl,5,5,0
own_v1,O1,h00004,main_default_opt_2,True,store,521,521,0
own_v1,O1,h00004,main_default_opt_2,True,sub,17,1,-16
own_v1,O1,h00004,main_default_opt_2,True,switch,1,1,0
own_v1,O1,h00004,main_default_opt_2,True,trunc,23,23,0
own_v1,O1,h00004,main_default_opt_2,True,xor,29,29,0
own_v1,O1,h00004,main_default_opt_2,True,zext,37,37,0
own_v1,O1,h00004,bundle_default_opt_3,True,add,60,60,0
own_v1,O1,h00004,bundle_default_opt_3,True,alloca,5,5,0
own_v1,O1,h00004,bundle_default_opt_3,True,and,31,31,0
