dataset,level,boundary,opcode,metric_n,total_before,total_after,total_delta,cases_changed
own_v1,O3,main_default_opt_2,icmp,40,1387,1178,-209,28
own_v1,O3,main_default_opt_2,inttoptr,40,863,727,-136,15
own_v1,O3,main_default_opt_2,load,40,3399,3417,18,23
own_v1,O3,main_default_opt_2,lshr,33,350,350,0,0
own_v1,O3,main_default_opt_2,mul,34,136,136,0,0
own_v1,O3,main_default_opt_2,or,15,25,25,0,0
own_v1,O3,main_default_opt_2,phi,40,1054,1025,-29,12
own_v1,O3,main_default_opt_2,ptrtoint,40,192,180,-12,6
own_v1,O3,main_default_opt_2,ret,40,234,234,0,0
own_v1,O3,main_default_opt_2,select,40,798,786,-12,6
own_v1,O3,main_default_opt_2,sext,29,171,171,0,0
own_v1,O3,main_default_opt_2,shl,40,359,358,-1,1
own_v1,O3,main_default_opt_2,store,40,17772,17464,-308,36
own_v1,O3,main_default_opt_2,sub,30,197,45,-152,25
own_v1,O3,main_default_opt_2,switch,40,75,73,-2,2
own_v1,O3,main_default_opt_2,trunc,30,452,449,-3,3
own_v1,O3,main_default_opt_2,xor,40,814,813,-1,1
own_v1,O3,main_default_opt_2,zext,35,874,873,-1,1
own_v1,O3,bundle_default_opt_3,add,40,1517,1501,-16,4
own_v1,O3,bundle_default_opt_3,alloca,40,110,110,0,0
own_v1,O3,bundle_default_opt_3,and,40,771,723,-48,11
own_v1,O3,bundle_default_opt_3,br,40,1430,1427,-3,1
own_v1,O3,bundle_default_opt_3,call,40,593,573,-20,11
own_v1,O3,bundle_default_opt_3,getelementptr,40,1896,1861,-35,16
own_v1,O3,bundle_default_opt_3,icmp,40,1040,1022,-18,3
own_v1,O3,bundle_default_opt_3,inttoptr,40,582,578,-4,2
own_v1,O3,bundle_default_opt_3,load,40,3445,2711,-734,27
own_v1,O3,bundle_default_opt_3,lshr,33,350,329,-21,7
own_v1,O3,bundle_default_opt_3,mul,34,136,135,-1,1
own_v1,O3,bundle_default_opt_3,or,15,67,48,-19,5
own_v1,O3,bundle_default_opt_3,phi,37,909,876,-33,11
own_v1,O3,bundle_default_opt_3,ptrtoint,40,127,110,-17,11
own_v1,O3,bundle_default_opt_3,ret,40,252,245,-7,1
own_v1,O3,bundle_default_opt_3,select,40,628,626,-2,1
own_v1,O3,bundle_default_opt_3,shl,40,355,353,-2,2
own_v1,O3,bundle_default_opt_3,store,40,14920,11552,-3368,27
own_v1,O3,bundle_default_opt_3,switch,40,73,73,0,0
own_v1,O3,bundle_default_opt_3,trunc,28,449,416,-33,7
own_v1,O3,bundle_default_opt_3,xor,40,813,779,-34,8
own_v1,O3,bundle_default_opt_3,zext,35,732,697,-35,19
own_v1,O3,bundle_default_opt_4,add,40,1501,1497,-4,3
own_v1,O3,bundle_default_opt_4,alloca,40,110,110,0,0
own_v1,O3,bundle_default_opt_4,and,40,723,720,-3,3
own_v1,O3,bundle_default_opt_4,br,40,1427,1427,0,0
own_v1,O3,bundle_default_opt_4,call,40,573,573,0,0
own_v1,O3,bundle_default_opt_4,getelementptr,40,1861,1861,0,0
own_v1,O3,bundle_default_opt_4,icmp,40,1022,1016,-6,4
own_v1,O3,bundle_default_opt_4,inttoptr,40,578,578,0,0
own_v1,O3,bundle_default_opt_4,load,40,2711,2711,0,0
own_v1,O3,bundle_default_opt_4,lshr,33,329,327,-2,2
own_v1,O3,bundle_default_opt_4,mul,34,135,135,0,0
own_v1,O3,bundle_default_opt_4,or,14,48,48,0,0
own_v1,O3,bundle_default_opt_4,phi,37,876,876,0,0
own_v1,O3,bundle_default_opt_4,ptrtoint,40,110,110,0,0
own_v1,O3,bundle_default_opt_4,ret,40,245,245,0,0
own_v1,O3,bundle_default_opt_4,select,40,626,626,0,0
own_v1,O3,bundle_default_opt_4,shl,40,353,353,0,0
own_v1,O3,bundle_default_opt_4,store,40,11552,11179,-373,25
own_v1,O3,bundle_default_opt_4,switch,40,73,73,0,0
