dataset,level,sample_id,boundary,before_path,after_path,production_replay_valid,functions_before,functions_after,functions_delta,blocks_before,blocks_after,blocks_delta,instructions_before,instructions_after,instructions_delta,conditional_branches_before,conditional_branches_after,conditional_branches_delta,calls_before,calls_after,calls_delta,direct_calls_before,direct_calls_after,direct_calls_delta,indirect_calls_before,indirect_calls_after,indirect_calls_delta,intrinsics_before,intrinsics_after,intrinsics_delta,allocas_before,allocas_after,allocas_delta,loads_before,loads_after,loads_delta,stores_before,stores_after,stores_delta,geps_before,geps_after,geps_delta,phis_before,phis_after,phis_delta,selects_before,selects_after,selects_delta,switches_before,switches_after,switches_delta,unreachable_before,unreachable_after,unreachable_delta,memory_ops_before,memory_ops_after,memory_ops_delta,scalar_cleanup_ops_before,scalar_cleanup_ops_after,scalar_cleanup_ops_delta,vector_instructions_before,vector_instructions_after,vector_instructions_delta
own_v1,O3,h00020,bundle_default_opt_4,/home/dungbv/clau/result/f3_o3_final_20260815/h00020/h00020_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00020/bundle_default_opt_4.after.ll,True,8,8,0,47,47,0,878,865,-13,8,8,0,17,17,0,15,15,0,2,2,0,7,7,0,2,2,0,92,92,0,395,382,-13,39,39,0,35,35,0,10,10,0,1,1,0,0,0,0,528,515,-13,152,152,0,0,0,0
own_v1,O3,h00020,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00020/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/f3_o3_final_20260815/h00020/h00020_final.ll,True,8,8,0,47,47,0,865,865,0,8,8,0,17,17,0,15,15,0,2,2,0,7,7,0,2,2,0,92,92,0,382,382,0,39,39,0,35,35,0,10,10,0,1,1,0,0,0,0,515,515,0,152,152,0,0,0,0
own_v1,O3,h00021,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00021/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00021/main_opt_1.after.ll,True,11,8,-3,49,44,-5,1248,1088,-160,8,8,0,39,28,-11,37,26,-11,2,2,0,22,14,-8,9,5,-4,157,112,-45,567,516,-51,110,66,-44,20,31,11,20,20,0,2,2,0,0,0,0,843,699,-144,171,177,6,0,0,0
own_v1,O3,h00021,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00021/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00021/main_opt_2.after.ll,True,8,8,0,44,44,0,1000,991,-9,8,8,0,20,20,0,18,18,0,2,2,0,6,6,0,1,1,0,112,112,0,480,478,-2,51,44,-7,31,31,0,20,20,0,2,2,0,0,0,0,644,635,-9,162,162,0,0,0,0
own_v1,O3,h00021,bundle_default_opt_3,/home/dungbv/clau/result/f3_o3_final_20260815/h00021/h00021_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00021/bundle_default_opt_3.after.ll,True,8,8,0,44,44,0,840,713,-127,8,8,0,19,18,-1,17,16,-1,2,2,0,5,4,-1,1,1,0,111,71,-40,352,275,-77,44,44,0,25,25,0,20,20,0,2,2,0,0,0,0,508,391,-117,139,136,-3,0,0,0
own_v1,O3,h00021,bundle_default_opt_4,/home/dungbv/clau/result/f3_o3_final_20260815/h00021/h00021_final.05-unpinned.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00021/bundle_default_opt_4.after.ll,True,8,8,0,44,44,0,713,709,-4,8,8,0,18,18,0,16,16,0,2,2,0,4,4,0,1,1,0,71,71,0,275,274,-1,44,44,0,25,25,0,20,20,0,2,2,0,0,0,0,391,390,-1,136,134,-2,0,0,0
own_v1,O3,h00021,bundle_post_opt_4_custom_cleanup,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00021/bundle_default_opt_4.after.ll,/home/dungbv/clau/result/f3_o3_final_20260815/h00021/h00021_final.ll,True,8,8,0,44,44,0,709,709,0,8,8,0,18,18,0,16,16,0,2,2,0,4,4,0,1,1,0,71,71,0,274,274,0,44,44,0,25,25,0,20,20,0,2,2,0,0,0,0,390,390,0,134,134,0,0,0,0
own_v1,O3,h00022,main_default_opt_1,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00022/main_opt_1.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00022/main_opt_1.after.ll,True,12,3,-9,26,10,-16,647,499,-148,2,1,-1,26,14,-12,24,14,-10,2,0,-2,15,10,-5,5,3,-2,90,73,-17,291,230,-61,41,23,-18,22,14,-8,1,1,0,1,1,0,0,0,0,427,329,-98,90,72,-18,0,0,0
own_v1,O3,h00022,main_default_opt_2,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00022/main_opt_2.before.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00022/main_opt_2.after.ll,True,3,3,0,10,10,0,462,463,1,1,1,0,12,10,-2,12,10,-2,0,0,0,8,6,-2,2,2,0,73,75,2,212,214,2,10,9,-1,14,14,0,1,1,0,1,1,0,0,0,0,297,300,3,70,70,0,0,0,0
own_v1,O3,h00022,bundle_default_opt_3,/home/dungbv/clau/result/f3_o3_final_20260815/h00022/h00022_final.02-pointer-opt.ll,/home/dungbv/clau/reports/ir_boundary_own_20260816/artifacts/O3/h00022/bundle_default_opt_3.after.ll,True,3,3,0,10,10,0,460,208,-252,1,1,0,9,5,-4,9,5,-4,0,0,0,5,1,-4,2,2,0,75,25,-50,213,99,-114,9,9,0,14,7,-7,1,1,0,1,1,0,0,0,0,299,135,-164,69,26,-43,0,0,0
